route,airline,travel_date,booking_date,advance_window_days,fare_class,base_fare,taxes,udf,convenience_fee,total_fare,source,timestamp_collected
DEL-BOM,IndiGo,2026-06-25,2026-06-24,1,Economy Saver,830.05,149.41,70.48,35,1084.94,airline site,2026-06-24T00:00:00+00:00
DEL-BOM,Air India,2026-06-25,2026-06-24,1,Economy Flex,813.21,146.38,70.48,42,1072.07,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BOM,Air India Express,2026-06-25,2026-06-24,1,Premium Economy,906.5,163.17,70.48,49,1189.15,Cleartrip,2026-06-24T00:00:00+00:00
DEL-BOM,Akasa Air,2026-06-25,2026-06-24,1,Economy Saver,944.56,170.02,70.48,35,1220.06,ixigo,2026-06-24T00:00:00+00:00
DEL-BOM,SpiceJet,2026-06-25,2026-06-24,1,Economy Flex,860.65,154.92,70.48,42,1128.05,airline site,2026-06-24T00:00:00+00:00
DEL-BOM,IndiGo,2026-07-01,2026-06-24,7,Economy Saver,734.47,132.2,70.48,35,972.15,airline site,2026-06-24T00:00:00+00:00
DEL-BOM,Air India,2026-07-01,2026-06-24,7,Economy Flex,806.04,145.09,70.48,42,1063.61,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BOM,Air India Express,2026-07-01,2026-06-24,7,Premium Economy,818.6,147.35,70.48,49,1085.43,Cleartrip,2026-06-24T00:00:00+00:00
DEL-BOM,Akasa Air,2026-07-01,2026-06-24,7,Economy Saver,856.06,154.09,70.48,35,1115.63,ixigo,2026-06-24T00:00:00+00:00
DEL-BOM,SpiceJet,2026-07-01,2026-06-24,7,Economy Flex,852.63,153.47,70.48,42,1118.58,airline site,2026-06-24T00:00:00+00:00
DEL-BOM,IndiGo,2026-07-09,2026-06-24,15,Economy Saver,738.19,132.87,70.48,35,976.54,airline site,2026-06-24T00:00:00+00:00
DEL-BOM,Air India,2026-07-09,2026-06-24,15,Economy Flex,760.85,136.95,70.48,42,1010.28,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BOM,Air India Express,2026-07-09,2026-06-24,15,Premium Economy,764.86,137.67,70.48,49,1022.01,Cleartrip,2026-06-24T00:00:00+00:00
DEL-BOM,Akasa Air,2026-07-09,2026-06-24,15,Economy Saver,822.76,148.1,70.48,35,1076.34,ixigo,2026-06-24T00:00:00+00:00
DEL-BOM,SpiceJet,2026-07-09,2026-06-24,15,Economy Flex,827.03,148.87,70.48,42,1088.38,airline site,2026-06-24T00:00:00+00:00
DEL-BOM,IndiGo,2026-07-24,2026-06-24,30,Economy Saver,626.49,112.77,70.48,35,844.74,airline site,2026-06-24T00:00:00+00:00
DEL-BOM,Air India,2026-07-24,2026-06-24,30,Economy Flex,677.22,121.9,70.48,42,911.6,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BOM,Air India Express,2026-07-24,2026-06-24,30,Premium Economy,664.15,119.55,70.48,49,903.18,Cleartrip,2026-06-24T00:00:00+00:00
DEL-BOM,Akasa Air,2026-07-24,2026-06-24,30,Economy Saver,734.21,132.16,70.48,35,971.85,ixigo,2026-06-24T00:00:00+00:00
DEL-BOM,SpiceJet,2026-07-24,2026-06-24,30,Economy Flex,729.99,131.4,70.48,42,973.87,airline site,2026-06-24T00:00:00+00:00
DEL-BOM,IndiGo,2026-08-08,2026-06-24,45,Economy Saver,516.77,93.02,70.48,35,715.27,airline site,2026-06-24T00:00:00+00:00
DEL-BOM,Air India,2026-08-08,2026-06-24,45,Economy Flex,522.81,94.11,70.48,42,729.4,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BOM,Air India Express,2026-08-08,2026-06-24,45,Premium Economy,572.2,103.0,70.48,49,794.68,Cleartrip,2026-06-24T00:00:00+00:00
DEL-BOM,Akasa Air,2026-08-08,2026-06-24,45,Economy Saver,561.64,101.1,70.48,35,768.22,ixigo,2026-06-24T00:00:00+00:00
DEL-BOM,SpiceJet,2026-08-08,2026-06-24,45,Economy Flex,570.94,102.77,70.48,42,786.19,airline site,2026-06-24T00:00:00+00:00
DEL-BLR,IndiGo,2026-06-25,2026-06-24,1,Economy Saver,1121.99,201.96,81.32,35,1440.27,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BLR,Air India,2026-06-25,2026-06-24,1,Economy Flex,1213.55,218.44,81.32,42,1555.31,Cleartrip,2026-06-24T00:00:00+00:00
DEL-BLR,Air India Express,2026-06-25,2026-06-24,1,Premium Economy,1250.8,225.14,81.32,49,1606.26,ixigo,2026-06-24T00:00:00+00:00
DEL-BLR,Akasa Air,2026-06-25,2026-06-24,1,Economy Saver,1299.7,233.95,81.32,35,1649.97,airline site,2026-06-24T00:00:00+00:00
DEL-BLR,SpiceJet,2026-06-25,2026-06-24,1,Economy Flex,1347.07,242.47,81.32,42,1712.86,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BLR,IndiGo,2026-07-01,2026-06-24,7,Economy Saver,1171.31,210.84,81.32,35,1498.47,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BLR,Air India,2026-07-01,2026-06-24,7,Economy Flex,1092.33,196.62,81.32,42,1412.27,Cleartrip,2026-06-24T00:00:00+00:00
DEL-BLR,Air India Express,2026-07-01,2026-06-24,7,Premium Economy,1127.77,203.0,81.32,49,1461.09,ixigo,2026-06-24T00:00:00+00:00
DEL-BLR,Akasa Air,2026-07-01,2026-06-24,7,Economy Saver,1152.17,207.39,81.32,35,1475.88,airline site,2026-06-24T00:00:00+00:00
DEL-BLR,SpiceJet,2026-07-01,2026-06-24,7,Economy Flex,1272.58,229.06,81.32,42,1624.96,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BLR,IndiGo,2026-07-09,2026-06-24,15,Economy Saver,1025.43,184.58,81.32,35,1326.33,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BLR,Air India,2026-07-09,2026-06-24,15,Economy Flex,1010.35,181.86,81.32,42,1315.53,Cleartrip,2026-06-24T00:00:00+00:00
DEL-BLR,Air India Express,2026-07-09,2026-06-24,15,Premium Economy,1013.99,182.52,81.32,49,1326.83,ixigo,2026-06-24T00:00:00+00:00
DEL-BLR,Akasa Air,2026-07-09,2026-06-24,15,Economy Saver,1050.34,189.06,81.32,35,1355.72,airline site,2026-06-24T00:00:00+00:00
DEL-BLR,SpiceJet,2026-07-09,2026-06-24,15,Economy Flex,1159.99,208.8,81.32,42,1492.11,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BLR,IndiGo,2026-07-24,2026-06-24,30,Economy Saver,902.38,162.43,81.32,35,1181.13,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BLR,Air India,2026-07-24,2026-06-24,30,Economy Flex,928.38,167.11,81.32,42,1218.81,Cleartrip,2026-06-24T00:00:00+00:00
DEL-BLR,Air India Express,2026-07-24,2026-06-24,30,Premium Economy,913.45,164.42,81.32,49,1208.19,ixigo,2026-06-24T00:00:00+00:00
DEL-BLR,Akasa Air,2026-07-24,2026-06-24,30,Economy Saver,981.96,176.75,81.32,35,1275.03,airline site,2026-06-24T00:00:00+00:00
DEL-BLR,SpiceJet,2026-07-24,2026-06-24,30,Economy Flex,1009.66,181.74,81.32,42,1314.72,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BLR,IndiGo,2026-08-08,2026-06-24,45,Economy Saver,686.76,123.62,81.32,35,926.7,MakeMyTrip,2026-06-24T00:00:00+00:00
DEL-BLR,Air India,2026-08-08,2026-06-24,45,Economy Flex,727.39,130.93,81.32,42,981.64,Cleartrip,2026-06-24T00:00:00+00:00
DEL-BLR,Air India Express,2026-08-08,2026-06-24,45,Premium Economy,733.05,131.95,81.32,49,995.32,ixigo,2026-06-24T00:00:00+00:00
DEL-BLR,Akasa Air,2026-08-08,2026-06-24,45,Economy Saver,769.52,138.51,81.32,35,1024.35,airline site,2026-06-24T00:00:00+00:00
DEL-BLR,SpiceJet,2026-08-08,2026-06-24,45,Economy Flex,774.43,139.4,81.32,42,1037.15,MakeMyTrip,2026-06-24T00:00:00+00:00
BOM-BLR,IndiGo,2026-06-25,2026-06-24,1,Economy Saver,669.69,120.54,65.16,35,890.39,Cleartrip,2026-06-24T00:00:00+00:00
BOM-BLR,Air India,2026-06-25,2026-06-24,1,Economy Flex,700.76,126.14,65.16,42,934.06,ixigo,2026-06-24T00:00:00+00:00
